[INFO] [1775717388.869098458] [fleet_scheduler]: Fleet scheduler initialized with enhanced AI and periodic scheduling
[INFO] [1775717388.870748950] [fleet_scheduler]: Fleet scheduler node started
[INFO] [1775717418.872015707] [fleet_scheduler]: Starting scheduler cycle
[INFO] [1775717448.893569989] [fleet_scheduler]: Cost for robot_3 -> deliver_meds_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717448.895965953] [fleet_scheduler]: Cost for robot_3 -> pickup_samples_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717448.898139603] [fleet_scheduler]: Cost for robot_3 -> assist_patient_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717448.900249291] [fleet_scheduler]: Cost for robot_3 -> deliver_food_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717448.902382208] [fleet_scheduler]: Cost for robot_3 -> clean_room_1: distance=2.0, congestion=0.0, predicted=9.03
[INFO] [1775717448.904684358] [fleet_scheduler]: Cost for robot_3 -> transport_equipment_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717448.906855984] [fleet_scheduler]: Cost for robot_3 -> restock_supplies_1: distance=2.0, congestion=0.0, predicted=9.03
[INFO] [1775717448.908988584] [fleet_scheduler]: Cost for robot_3 -> move_patient_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717448.911163817] [fleet_scheduler]: Cost for robot_3 -> deliver_lab_results_1: distance=8.0, congestion=6.0, predicted=45.00
[INFO] [1775717448.913410829] [fleet_scheduler]: Cost for robot_3 -> support_mri_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717448.915615657] [fleet_scheduler]: Cost for robot_4 -> deliver_meds_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717448.917793728] [fleet_scheduler]: Cost for robot_4 -> pickup_samples_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717448.919823628] [fleet_scheduler]: Cost for robot_4 -> assist_patient_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717448.921987196] [fleet_scheduler]: Cost for robot_4 -> deliver_food_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717448.924068775] [fleet_scheduler]: Cost for robot_4 -> clean_room_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717448.926197712] [fleet_scheduler]: Cost for robot_4 -> transport_equipment_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717448.928357121] [fleet_scheduler]: Cost for robot_4 -> restock_supplies_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717448.930425875] [fleet_scheduler]: Cost for robot_4 -> move_patient_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717448.932433042] [fleet_scheduler]: Cost for robot_4 -> deliver_lab_results_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717448.934376257] [fleet_scheduler]: Cost for robot_4 -> support_mri_1: distance=2.0, congestion=0.0, predicted=9.03
[INFO] [1775717448.936354234] [fleet_scheduler]: Cost for robot_5 -> deliver_meds_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717448.938343616] [fleet_scheduler]: Cost for robot_5 -> pickup_samples_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717448.940388699] [fleet_scheduler]: Cost for robot_5 -> assist_patient_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717448.942410087] [fleet_scheduler]: Cost for robot_5 -> deliver_food_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717448.944366771] [fleet_scheduler]: Cost for robot_5 -> clean_room_1: distance=2.0, congestion=0.0, predicted=9.03
[INFO] [1775717448.946377054] [fleet_scheduler]: Cost for robot_5 -> transport_equipment_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717448.948407756] [fleet_scheduler]: Cost for robot_5 -> restock_supplies_1: distance=2.0, congestion=0.0, predicted=9.03
[INFO] [1775717448.950422321] [fleet_scheduler]: Cost for robot_5 -> move_patient_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717448.952408081] [fleet_scheduler]: Cost for robot_5 -> deliver_lab_results_1: distance=8.0, congestion=6.0, predicted=45.00
